Trial Type,Experiment,Tank,Substrate,Plate Position,Obs,Time of Day,DateTime,Nos Stars-L,Nos Stars-R,Nos Stars-Tot,Nos_F,Nos_NF,check,Star_1_size,Star_1_position,Star_1_feeding,Star_2_size,Star_2_pos,Star_2_feeding,Star_3_size,Star_3_pos,Star_3_feeding,Star_4_size,Star_4_pos,Star_4_feeding,Star_5_size,Star_5_position,Star_5_feeding,Star_6_size,Star_6_pos,Star_6_feeding,Star_7_size,Star_7_pos,Star_7_feeding,Star_8_size,Star_8_pos,Star_8_feeding,Star_9_size,Star_9_pos,Star_9_feeding,Star_10_size,Star_10_pos,Star_10_feeding,Star_11_size,Star_11_pos,Star_11_feeding,,,,,,,,,
Preference_substrate,2,2,Poly,1,2,N,24/02/2022 21:00,0,2,2,1,1,0,l,rt,nf,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Slate,2,2,N,24/02/2022 21:00,1,4,5,5,0,0,l,lb,f,m,rt,f,l,rt,f,m,rt,f,m,rb,f,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Poly,3,2,N,24/02/2022 21:00,0,4,4,4,0,0,m,rt,f,l,rt,f,l,rt,f,m,rb,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Slate,4,2,N,24/02/2022 21:00,1,1,2,1,1,0,m,lt,nf,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Poly,5,2,N,24/02/2022 21:00,1,3,4,4,0,0,m,lt,f,l,rt,f,l,rt,f,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Slate,6,2,N,24/02/2022 21:00,3,1,4,2,2,0,l,lt,f,l,lt,f,m,lb,nf,m,rb,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Slate,1,2,N,24/02/2022 21:00,0,2,2,1,1,0,m,lt,f,m,lt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Poly,2,2,N,24/02/2022 21:00,0,4,4,2,2,0,m,rt,nf,l,rt,f,l,rt,f,m,rt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Slate,3,2,N,24/02/2022 21:00,1,1,2,2,0,0,m,lt,f,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Poly,4,2,N,24/02/2022 21:00,2,3,5,4,1,0,m,lt,f,m,lt,f,m,rt,f,m,rt,f,m,rt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Slate,5,2,N,24/02/2022 21:00,5,1,6,4,2,0,m,lt,f,l,lt,f,m,lt,nf,m,lb,f,m,lb,nf,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Poly,6,2,N,24/02/2022 21:00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,4,Poly,1,2,N,24/02/2022 21:00,0,1,1,1,0,0,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,4,Slate,2,2,N,24/02/2022 21:00,2,1,3,3,0,0,m,lb,f,l,lt,f,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,4,Poly,3,2,N,24/02/2022 21:00,2,5,7,7,0,0,m,lt,f,m,lt,f,m,rt,f,m,rt,f,m,rt,f,l,rt,f,m,rb,f,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,4,Slate,4,2,N,24/02/2022 21:00,3,1,4,4,0,0,m,lb,f,m,lt,f,l,lt,f,l,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,4,Poly,5,2,N,24/02/2022 21:00,1,2,3,3,0,0,m,lt,f,l,rt,f,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,4,Slate,6,2,N,24/02/2022 21:00,2,1,3,3,0,0,m,lt,f,m,lb,f,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Slate,1,3,D,25/02/2022 9:00,4,0,4,3,1,0,l,lt,f,m,lt,f,m,lt,f,m,lb,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Poly,2,3,D,25/02/2022 9:00,0,3,3,2,1,0,m,rt,f,m,rt,f,m,rb,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Slate,3,3,D,25/02/2022 9:00,0,3,3,1,2,0,m,rt,nf,m,rt,nf,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Poly,4,3,D,25/02/2022 9:00,1,2,3,3,0,0,m,lt,f,m,rt,f,m,lt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Slate,5,3,D,25/02/2022 9:00,5,1,6,6,0,0,l,lt,f,m,lt,f,m,lt,f,m,lt,f,m,lb,f,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Poly,6,3,D,25/02/2022 9:00,2,1,3,1,2,0,m,lt,f,m,lt,nf,m,rt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Other,,3,D,25/02/2022 9:00,,,1,0,1,0,m,floor-fellof,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Poly,1,3,D,25/02/2022 9:00,0,3,3,3,0,0,m,rt,f,m,rt,f,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Slate,2,3,D,25/02/2022 9:00,2,2,4,2,2,0,m,lt,f,m,lb,nf,l,rt,nf,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Poly,3,3,D,25/02/2022 9:00,3,1,4,2,2,0,m,lt,nf,l,lt,f,l,lb,f,m,rb,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Slate,4,3,D,25/02/2022 9:00,2,0,2,1,1,0,m,lt,f,m,lt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Poly,5,3,D,25/02/2022 9:00,1,4,5,4,1,0,m,lt,f,m,rt,nf,m,rt,f,m,rb,f,m,rb,f,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Slate,6,3,D,25/02/2022 9:00,4,1,5,3,2,0,m,lt,f,m,lt,f,m,lt,nf,m,lt,nf,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Slate,1,3,D,25/02/2022 9:00,1,2,3,2,1,0,m,lt,f,m,rt,nf,m,rb,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Poly,2,3,D,25/02/2022 9:00,3,2,5,3,2,0,m,lt,nf,m,lt,f,m,lt,f,l,rt,f,m,rt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Slate,3,3,D,25/02/2022 9:00,1,1,2,0,2,0,m,lt,nf,m,rt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Poly,4,3,D,25/02/2022 9:00,4,2,6,4,2,0,l,lt,f,m,lt,nf,m,lt,f,m,lb,f,m,rt,nf,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Slate,5,3,D,25/02/2022 9:00,4,2,6,5,1,0,m,lt,f,m,lt,f,m,lb,f,m,lb,f,l,rt,f,m,rt,nf,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Poly,6,3,D,25/02/2022 9:00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,4,Poly,1,3,D,25/02/2022 9:00,0,1,1,1,0,0,m,rb,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,4,Slate,2,3,D,25/02/2022 9:00,0,3,3,2,1,0,m,rt,f,m,rb,nf,m,rb,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,4,Poly,3,3,D,25/02/2022 9:00,6,4,10,6,4,0,l,lt,nf,m,lt,f,m,lt,f,m,lt,nf,m,lt,nf,m,lf,f,m,rt,f,m,rt,f,m,rt,f,m,rt,nf,,,,,,,,,,,,
